"sobrenome","altura","peso","novo_imc"
"Aldrich",210,75,"Peso normal"
"Aldridge",175,69,""
"Aleno",215,73,"Peso normal"
"Alexander",205,74,"Peso normal"
"Alexander",210,75,"Peso normal"
"Alexander",190,75,""
"Alexander",195,74,""
"Alexander",190,71,""
"Alexander",190,72,""
"Alexander",200,75,""
"Alexander",168,71,"Acima do peso"
"Alexander",150,70,"Acima do peso"
"Alexander",163,64,""
"Alexander",185,73,""
"Alexander",195,74,""
"Alexander",203,74,"Peso normal"
"Alexander",165,70,"Acima do peso"
"Alexy",195,76,""
"Alfaro",185,70,""
"Alfaro",230,75,"Peso normal"
"Alfonseca",250,77,"Peso normal"
"Alfonzo",210,71,"Peso normal"
"Alfonzo",220,71,"Peso normal"
"Alford",215,73,"Peso normal"
"Alicea",165,69,"Acima do peso"
"Allanson",220,77,"Peso normal"
"Allard",185,73,""
"Allard",195,73,""
"Alldred",205,75,"Peso normal"
"Allen",219,74,"Peso normal"
"Allen",175,72,""
"Allen",175,71,""
"Allen",180,70,""
"Allen",165,73,"Acima do peso"
"Allen",175,74,""
"Allen",230,74,"Peso normal"
"Allen",195,73,""
"Allen",210,73,"Peso normal"
"Allen",187,71,""
"Allen",215,76,"Peso normal"
"Allen",180,73,""
"Allen",175,69,""
"Allenson",185,71,""
"Allen",185,72,""
"Allen",NA,64,NA
"Allen",190,72,""
"Allen",160,71,"Acima do peso"
"Allen",187,72,""
"Allen",160,NA,NA
"Allen",205,72,"Peso normal"
"Allensworth",178,72,""
"Allen",170,73,"Acima do peso"
"Allen",180,72,""
"Allen",175,71,""
"Allen",185,73,""
"Allen",200,75,""
"Allen",208,74,"Peso normal"
"Allen",150,68,"Acima do peso"
"Allen",185,75,""
"Allen",180,72,""
"Allen",166,68,""
"Allen",185,68,""
"Allen",205,75,"Peso normal"
"Allen",185,73,""
"Allen",180,73,""
"Alley",160,70,"Acima do peso"
"Allgeyer",225,75,"Peso normal"
"Allietta",190,72,""
"Allie",190,73,""
"Allison",150,70,"Acima do peso"
"Allison",150,68,"Acima do peso"
"Allison",NA,NA,NA
"Allison",205,75,"Peso normal"
"Allison",215,75,"Peso normal"
"Allison",160,70,"Acima do peso"
"Allison",185,73,""
"Allison",163,72,"Acima do peso"
"Allred",190,72,""
"Almada",170,72,""
"Almanza",205,75,"Peso normal"
"Almanzar",166,74,"Acima do peso"
"Almeida",164,69,"Acima do peso"
"Almonte",223,70,"Peso normal"
"Almon",180,75,""
"Almonte",200,75,""
"Almonte",245,74,"Peso normal"
"Almonte",190,74,""
"Almonte",210,73,"Peso normal"
"Almonte",223,77,"Peso normal"
"Almonte",205,72,"Peso normal"
"Almora",190,74,""
"Aloma",195,74,""
"Alomar",184,72,""
"Alomar",140,69,"Acima do peso"
"Alomar",200,77,""
"Alonso",253,74,"Peso normal"
"Alonso",230,73,"Peso normal"
"Alou",195,72,""
"Alou",190,74,""
"Alou",160,69,"Acima do peso"
"Alou",185,75,""
"Alpermann",180,70,""
"Alston",180,72,""
"Alston",185,74,""
"Alston",210,77,"Peso normal"
"Alston",195,74,""
"Altamirano",175,72,""
"Altavilla",226,71,"Peso normal"
"Alten",175,72,""
"Altenburg",158,69,"Acima do peso"
"Altherr",215,77,"Peso normal"
"Altizer",160,70,"Acima do peso"
"Altman",200,76,""
"Altobelli",185,72,""
"Altrock",197,70,"Peso normal"
"Altuve",166,66,""
"Alusik",175,75,""
"Alvarez",190,74,""
"Alvarez",180,71,""
"Alvarez",170,73,"Acima do peso"
"Alvarez",180,74,""
"Alvarez",185,69,""
"Alvarez",242,70,"Peso normal"
"Alvarez",185,73,""
"Alvarez",205,72,"Peso normal"
"Alvarez",170,70,""
"Alvarez",195,71,""
"Alvarado",240,72,"Peso normal"
"Alvarez",180,73,""
"Alvarado",162,69,"Acima do peso"
"Alvarez",165,72,"Acima do peso"
"Alvarez",165,70,"Acima do peso"
"Alvarez",250,75,"Peso normal"
"Alvarez",238,73,"Peso normal"
"Alvarez",183,71,""
"Alvarez",245,75,"Peso normal"
"Alvarez",200,73,"Peso normal"
"Alvarez",150,70,"Acima do peso"
"Alvarez",175,73,""
"Alvarez",225,77,"Peso normal"
"Alvis",185,71,""
"Alvord",187,70,""
"Alyea",215,75,"Peso normal"
"Alzolay",208,73,"Peso normal"
"Amalfitano",175,71,""
"Amaral",175,72,""
"Amarista",160,66,"Acima do peso"
"Amaro",170,71,""
"Amaro",170,70,""
"Ambler",165,68,""
"Ambres",190,73,""
"Ambriz",235,74,"Peso normal"
"Amburgey",210,74,"Peso normal"
"Amelung",180,71,""
"Ames",185,70,""
"Ames",205,73,"Peso normal"
"Amezaga",165,71,"Acima do peso"
"Amole",165,69,"Acima do peso"
"Amoros",170,67,""
"Amor",182,75,""
"Ancker",190,73,""
"Anderson",165,71,"Acima do peso"
"Anderson",178,71,""
"Anderson",172,71,""
"Anderson",165,73,"Acima do peso"
"Anderson",210,76,"Peso normal"
"Anderson",170,73,"Acima do peso"
"Anderson",190,73,""
"Anderson",220,74,"Peso normal"
"Anderson",230,76,"Peso normal"
"Anderson",200,73,"Peso normal"
"Anderson",208,75,"Peso normal"
"Anderson",210,75,"Peso normal"
"Anderson",210,73,"Peso normal"
"Anderson",240,76,"Peso normal"
"Anderson",205,74,"Peso normal"
"Anderson",NA,NA,NA
"Anderson",185,74,""
"Anderson",195,74,""
"Anderson",205,75,"Peso normal"
"Anderson",165,71,"Acima do peso"
"Anderson",200,73,"Peso normal"
"Anderson",180,74,""
"Anderson",190,75,""
"Anderson",160,68,"Acima do peso"
"Anderson",NA,NA,NA
"Anderson",160,71,"Acima do peso"
"Anderson",205,75,"Peso normal"
"Anderson",170,75,"Acima do peso"
"Anderson",188,72,""
"Anderson",170,72,""
"Anderson",195,73,""
"Anderson",180,74,""
"Anderson",190,73,""
"Anderson",195,74,""
"Anderson",230,75,"Peso normal"
"Anderson",180,73,""
"Anderson",190,75,""
"Andersen",200,75,""
"Anderson",215,76,"Peso normal"
"Anderson",200,76,""
"Anderson",190,70,""
"Anderson",200,74,"Peso normal"
"Anderson",200,75,""
"Anderson",205,76,"Peso normal"
"Anderson",210,75,"Peso normal"
"Anderson",210,74,"Peso normal"
"Anderson",175,72,""
"Anderson",190,78,""
"Anderson",228,78,"Peso normal"
"Anderson",170,69,""
"Anderson",203,74,"Peso normal"
"Anderson",185,73,""
"Anderson",220,74,"Peso normal"
"Anderson",165,70,"Acima do peso"
"Anderson",160,74,"Acima do peso"
"Anderson",150,70,"Acima do peso"
"Andino",185,71,""
"Andrade",220,73,"Peso normal"
"Andrews",175,72,""
"Andrews",160,68,"Acima do peso"
"Andrews",175,72,""
"Andres",200,73,"Peso normal"
"Andrews",163,68,"Acima do peso"
"Andrews",170,72,""
"Andrews",200,73,"Peso normal"
"Andrews",NA,NA,NA
"Andre",200,76,""
"Andrews",175,70,""
"Andreoli",218,73,"Peso normal"
"Andrew",160,70,"Acima do peso"
"Andrews",195,75,""
"Andrews",195,72,""
"Andrews",185,72,""
"Andrews",215,73,"Peso normal"
"Andrews",178,71,""
"Andrews",170,75,"Acima do peso"
"Andriese",215,74,"Peso normal"
"Andrus",185,72,""
"Andrus",210,72,"Peso normal"
"Andrus",185,74,""
"Andrus",155,66,"Acima do peso"
"Andujar",170,72,""
"Andujar",175,74,""
"Andujar",211,72,"Peso normal"
"Angelini",175,71,""
"Angle",185,69,""
"Angley",190,68,""
"Ankenman",125,64,"Acima do peso"
"Ankiel",210,73,"Peso normal"
"Anna",180,71,""
"Annis",150,67,"Acima do peso"
"Anson",227,72,"Peso normal"
"Anthony",195,74,""
"Antolin",230,74,"Peso normal"
"Antolick",185,72,""
"Antonello",185,71,""
"Antonelli",165,70,"Acima do peso"
"Antonelli",185,73,""
"Antonelli",195,73,""
"Antone",230,76,"Peso normal"
"Aoki",180,69,""
"Aparicio",160,69,"Acima do peso"
"Apodaca",170,71,""
"Aponte",185,72,""
"Apostel",235,76,"Peso normal"
"Appel",220,77,"Peso normal"
"Appier",180,74,""
"Appleton",173,72,""
"Applegate",180,74,""
"Appleton",180,71,""
"Appling",183,70,""
"Aquino",220,76,"Peso normal"
"Aquino",190,73,""
"Aquino",225,73,"Peso normal"
"Aquino",155,72,"Acima do peso"
"Aragon",150,65,"Acima do peso"
"Aragon",176,70,""
"Aranda",210,72,"Peso normal"
"Arano",228,74,"Peso normal"
"Araujo",275,79,"Peso normal"
"Araujo",215,75,"Peso normal"
"Arauz",195,72,""
"Archdeacon",153,68,"Acima do peso"
"Archer",195,74,""
"Archer",193,72,""
"Archer",168,70,""
"Archer",190,72,""
"Archie",170,72,""
"Arcia",200,71,"Peso normal"
"Arcia",170,75,"Acima do peso"
"Arcia",187,72,""
"Arcia",230,72,"Peso normal"
"Ardell",190,74,""
"Ardizoia",180,71,""
"Ardner",160,67,"Acima do peso"
"Ardoin",205,72,"Peso normal"
"Arellanes",180,72,""
"Arenado",215,74,"Peso normal"
"Arencibia",210,73,"Peso normal"
"Arft",190,70,""
"Arias",185,75,""
"Arias",155,71,"Acima do peso"
"Arias",217,73,"Peso normal"
"Arias",190,71,""
"Arias",185,73,""
"Arias",165,70,"Acima do peso"
"Arihara",210,74,"Peso normal"
"Arlett",225,75,"Peso normal"
"Arlich",185,74,""
"Arlin",195,75,""
"Armas",190,77,""
"Armas",182,71,""
"Armas",205,76,"Peso normal"
"Armbruster",180,69,""
"Armbrister",160,71,"Acima do peso"
"Armbruster",190,70,""
"Armbrust",195,70,"Peso normal"
"Armenteros",244,73,"Peso normal"
"Armour",NA,NA,NA
"Armstrong",160,74,"Acima do peso"
"Armstrong",190,70,""
"Armstrong",165,69,"Acima do peso"
"Armstrong",220,77,"Peso normal"
"Armstrong",193,75,""
"Armstrong",225,74,"Peso normal"
"Arndt",165,NA,NA
"Arndt",195,73,""
"Arnold",NA,NA,NA
"Arnold",160,70,"Acima do peso"
"Arnold",190,74,""
"Arnold",210,74,"Peso normal"
"Arnold",170,71,""
"Arnovich",168,70,""
"Arnsberg",205,76,"Peso normal"
"Arntzen",200,73,"Peso normal"
"Arocha",180,72,""
"Aro",235,72,"Peso normal"
"Arozarena",185,71,""
"Arraez",175,70,""
"Arredondo",190,72,""
"Arrieta",230,76,"Peso normal"
"Arrigo",185,73,""
"Arrojo",215,76,"Peso normal"
"Arroyo",185,75,""
"Arroyo",210,73,"Peso normal"
"Arroyo",180,74,""
"Arroyo",178,68,""
"Arroyo",195,74,""
"Arruebarrena",230,73,"Peso normal"
"Arteaga",160,73,"Acima do peso"
"Arundel",145,66,"Acima do peso"
"Arundel",175,70,""
"Asadoor",185,73,""
"Asbell",195,72,""
"Asbjornson",196,73,""
"Ascanio",195,71,""
"Asche",205,73,"Peso normal"
"Asencio",190,74,""
"Ashburn",170,70,""
"Ashby",181,74,""
"Ashby",185,74,""
"Ashby",180,73,""
"Ashcraft",240,74,"Peso normal"
"Asher",240,76,"Peso normal"
"Ashford",195,73,""
"Ash",165,71,"Acima do peso"
"Ashley",220,79,"Peso normal"
"Ashley",245,73,"Peso normal"
"Asmussen",NA,71,NA
"Aspromonte",170,74,"Acima do peso"
"Aspromonte",180,72,""
"Assad",200,73,"Peso normal"
"Asselstine",175,73,""
"Assenmacher",195,75,""
"Astacio",200,75,""
"Astacio",174,74,""
"Astin",225,73,"Peso normal"
"Astroth",187,69,""
"Astudillo",225,69,"Peso normal"
"Asuaje",160,68,"Acima do peso"
"Atchison",200,74,"Peso normal"
"Atchley",215,75,"Peso normal"
"Atherton",160,70,"Acima do peso"
"Atherton",200,76,""
"Atilano",220,74,"Peso normal"
"Atkinson",165,71,"Acima do peso"
"Atkinson",165,67,""
"Atkinson",NA,NA,NA
"Atkins",190,74,""
"Atkins",205,75,"Peso normal"
"Atkinson",149,66,"Acima do peso"
"Atkins",225,76,"Peso normal"
"Atkins",165,70,"Acima do peso"
"Attreau",160,72,"Acima do peso"
"Atwell",185,69,""
"Atwood",190,71,""
"Atz",160,69,"Acima do peso"
"Aubrey",130,67,"Acima do peso"
"Aubrey",190,72,""
"Aucoin",235,79,"Peso normal"
"Aude",180,77,""
"Auerbach",165,72,"Acima do peso"
"Augenstein",230,78,"Peso normal"
"Augustine",174,74,""
"August",190,75,""
"Augustine",183,72,""
"Auker",194,74,""
"Aulds",185,74,""
"Ault",200,75,""
"Aumont",265,79,"Peso normal"
"Aurilia",170,72,""
"Ausanio",205,73,"Peso normal"
"Ausmus",190,71,""
"Aust",180,71,""
"Austin",NA,NA,NA
"Austin",185,72,""
"Austin",155,67,"Acima do peso"
"Austin",200,74,"Peso normal"
"Austin",190,76,""
"Austin",220,74,"Peso normal"
"Autry",225,77,"Peso normal"
"Autry",168,71,"Acima do peso"
"Autry",180,72,""
"Avelino",210,72,"Peso normal"
"Aven",180,69,""
"Averill",172,69,""
"Averill",185,70,""
"Avery",180,76,""
"Avery",190,72,""
"Avila",228,71,"Peso normal"
"Avila",175,70,""
"Avilan",235,74,"Peso normal"
"Avila",210,71,"Peso normal"
"Aviles",205,70,"Peso normal"
"Aviles",155,69,"Acima do peso"
"Avrea",175,73,""
"Axelrod",195,70,"Peso normal"
"Axford",234,77,"Peso normal"
"Ayala",185,73,""
"Ayala",190,74,""
"Ayala",205,74,"Peso normal"
"Aybar",195,70,"Peso normal"
"Aybar",165,73,"Acima do peso"
"Aybar",205,71,"Peso normal"
"Aydelott",180,72,""
"Ayers",185,75,""
"Ayers",185,73,""
"Aylward",190,72,""
"Ayrault",230,76,"Peso normal"
"Ayrault",190,75,""
"Azcue",190,72,""
"Azocar",181,71,""
"Azocar",170,73,"Acima do peso"
"Babb",165,70,"Acima do peso"
"Babcock",210,77,"Peso normal"
"Babe",180,70,""
"Babich",185,73,""
"Babington",170,72,""
"Babitt",174,68,""
"Backe",182,72,""
"Backman",195,72,""
"Backman",160,69,"Acima do peso"
"Bacon",158,68,"Acima do peso"
"Bacsik",180,74,""
"Bacsik",225,74,"Peso normal"
"Bacus",212,74,"Peso normal"
"Baczewski",185,74,""
"Baddoo",214,73,"Peso normal"
"Badenhop",205,77,"Peso normal"
"Bader",170,70,""
"Bader",210,72,"Peso normal"
"Bader",175,72,""
"Badgro",190,72,""
"Baecht",195,75,""
"Bae",185,73,""
"Baek",190,76,""
"Baerga",165,71,"Acima do peso"
"Baez",160,72,"Acima do peso"
"Baez",225,75,"Peso normal"
"Baez",190,72,""
"Baez",160,68,"Acima do peso"
"Baez",160,72,"Acima do peso"
"Baez",220,80,"Peso normal"
"Baez",232,72,"Peso normal"
"Baez",219,74,"Peso normal"
"Bagby",170,72,""
"Bagby",170,74,"Acima do peso"
"Bagwell",175,73,""
"Bagwell",195,72,""
"Bahnsen",185,74,""
"Bahr",172,73,""
"Bahret",184,73,""
"Baichley",165,68,""
"Bailey",240,75,"Peso normal"
"Bailey",165,71,"Acima do peso"
"Bailey",170,70,""
"Bailey",180,73,""
"Bailey",195,70,"Peso normal"
"Bailey",195,72,""
"Bailey",205,74,"Peso normal"
"Bailey",150,71,"Acima do peso"
"Bailey",160,68,"Acima do peso"
"Bailey",160,72,"Acima do peso"
"Bailey",195,72,""
"Bailey",223,76,"Peso normal"
"Bailey",200,74,"Peso normal"
"Bailey",210,74,"Peso normal"
"Bailey",185,72,""
"Bailey",195,77,""
"Bailey",180,73,""
"Bailes",170,74,"Acima do peso"
"Bailey",194,73,""
"Bailey",184,72,""
"Bailor",170,71,""
"Baines",175,74,""
"Bain",190,72,""
"Baird",160,69,"Acima do peso"
"Baird",195,76,""
"Baird",148,69,"Acima do peso"
"Bair",170,72,""
"Baisley",225,75,"Peso normal"
"Bajenaru",190,73,""
"Bakley",170,68,""
"Bakenhaster",168,70,""
"Baker",170,71,""
"Baker",200,72,"Peso normal"
"Baker",181,69,""
"Baker",245,78,"Peso normal"
"Baker",140,64,"Acima do peso"
"Baker",180,71,""
"Baker",185,72,""
"Baker",176,71,""
"Baker",165,69,"Acima do peso"
"Baker",183,74,""
"Baker",160,70,"Acima do peso"
"Baker",160,69,"Acima do peso"
"Baker",173,71,""
"Baker",180,70,""
"Baker",178,74,""
"Baker",162,71,"Acima do peso"
"Baker",170,73,"Acima do peso"
"Baker",175,71,""
"Baker",225,77,"Peso normal"
"Baker",188,71,""
"Baker",140,64,"Acima do peso"
"Baker",220,74,"Peso normal"
"Baker",215,73,"Peso normal"
"Baker",160,69,"Acima do peso"
"Baker",175,73,""
"Baker",NA,NA,NA
"Baker",152,68,"Acima do peso"
"Baker",175,74,""
"Baker",215,76,"Peso normal"
"Baker",185,72,""
"Baker",180,73,""
"Baker",195,72,""
"Baker",180,73,""
"Bako",205,74,"Peso normal"
"Balas",195,72,""
"Balaz",180,75,""
"Balboni",225,75,"Peso normal"
"Balcena",160,67,"Acima do peso"
"Baldelli",190,76,""
"Baldonado",276,76,"Peso normal"
"Baldschun",175,73,""
"Baldwin",175,72,""
"Baldwin",200,74,"Peso normal"
"Baldwin",195,71,""
"Baldwin",160,71,"Acima do peso"
"Baldwin",180,71,""
"Baldwin",210,75,"Peso normal"
"Baldwin",180,73,""
"Baldwin",147,66,"Acima do peso"
"Baldwin",160,71,"Acima do peso"
"Baldwin",190,72,""
"Baldwin",185,NA,NA
"Baldwin",195,73,""
"Baldwin",180,75,""
"Bale",210,76,"Peso normal"
"Balenti",175,71,""
"Balentien",220,74,"Peso normal"
"Balester",190,76,""
"Bales",165,70,"Acima do peso"
"Balfour",200,74,"Peso normal"
"Ballard",195,75,""
"Ball",168,NA,NA
"Baller",215,78,"Peso normal"
"Ballenger",160,71,"Acima do peso"
"Ballinger",205,78,""
"Ball",185,70,""
"Ball",175,71,""
"Ball",145,67,"Acima do peso"
"Ballou",170,70,""
"Balsamo",185,74,""
"Bamberger",175,72,""
"Bamberger",173,72,""
"Bancker",NA,NA,NA
"Bancroft",160,69,"Acima do peso"
"Bancroft",NA,NA,NA
"Banda",220,74,"Peso normal"
"Bando",195,72,""
"Bando",195,72,""
"Bandy",235,76,"Peso normal"
"Bane",160,69,"Acima do peso"
"Baney",185,72,""
"Banister",200,74,"Peso normal"
"Bankhead",184,73,""
"Bankhead",175,70,""
"Yerrick",150,71,"Acima do peso"
"Banks",200,75,""
"Banks",180,73,""
"Bankston",180,71,""
"Banks",185,71,""
"Banks",215,75,"Peso normal"
"Banks",210,73,"Peso normal"
"Bankston",215,76,"Peso normal"
"Banks",190,73,""
"Bannister",170,71,""
"Bannister",202,74,"Peso normal"
"Bannister",190,73,""
"Banning",150,66,"Acima do peso"
"Bannon",160,65,"Acima do peso"
"Bannon",180,68,""
"Bannon",175,68,""
"Banta",175,74,""
"Bantz",205,73,"Peso normal"
"Banuelos",215,70,"Peso normal"
"Baptist",195,72,""
"Baragar",215,75,"Peso normal"
"Barajas",250,74,"Peso normal"
"Barbato",231,73,"Peso normal"
"Barbary",190,75,""
"Barbare",162,72,"Acima do peso"
"Barberie",185,71,""
"Barber",175,73,""
"Barber",148,70,"Acima do peso"
"Barbee",178,71,""
"Barberich",175,70,""
"Barbeau",140,65,"Acima do peso"
"Barber",195,72,""
"Barber",190,73,""
"Barber",170,71,""
"Barbieri",155,67,"Acima do peso"
"Barcelo",230,76,"Peso normal"
"Barclay",210,75,"Peso normal"
"Barclay",162,70,"Acima do peso"
"Bard",215,76,"Peso normal"
"Barden",190,71,""
"Bard",225,75,"Peso normal"
"Bard",200,75,""
"Bare",185,74,""
"Barfield",200,73,"Peso normal"
"Barfield",195,73,""
"Barfield",190,72,""
"Barfoot",170,72,""
"Bargar",185,74,""
"Barger",160,72,"Acima do peso"
"Bark",170,69,""
"Barker",162,72,"Acima do peso"
"Barkett",205,73,"Peso normal"
"Barker",180,70,""
"Barker",195,74,""
"Barker",225,77,"Peso normal"
"Barker",230,75,"Peso normal"
"Barker",192,72,""
"Barker",210,74,"Peso normal"
"Barker",220,75,"Peso normal"
"Barkley",180,74,""
"Barkley",185,75,""
"Barkley",160,71,"Acima do peso"
"Barkley",180,71,""
"Barlick",185,71,""
"Barlow",210,74,"Peso normal"
"Barlow",210,78,"Peso normal"
"Barlow",210,75,"Peso normal"
"Barlow",NA,NA,NA
"Barmes",165,68,""
"Barmes",200,73,"Peso normal"
"Barna",210,74,"Peso normal"
"Barnabe",164,71,"Acima do peso"
"Barnes",187,70,""
"Barnes",175,70,""
"Barnes",150,71,"Acima do peso"
"Barnes",170,69,""
"Barnes",210,74,"Peso normal"
"Barnes",190,74,""
"Barney",180,70,""
"Barnes",215,73,"Peso normal"
"Barney",178,70,""
"Barnes",175,69,""
"Barnes",195,74,""
"Barnes",170,72,""
"Barnes",175,70,""
"Barnes",231,74,"Peso normal"
"Barnes",170,72,""
"Barnes",205,74,"Peso normal"
"Barnes",170,71,""
"Barnes",195,73,""
"Barnes",160,70,"Acima do peso"
"Barnes",208,76,"Peso normal"
"Barnes",158,70,"Acima do peso"
"Barney",185,75,""
"Barnes",186,76,""
"Barnes",145,68,"Acima do peso"
"Barnes",150,68,"Acima do peso"
"Barnes",200,76,""
"Barnes",175,71,""
"Barnette",190,73,""
"Barnes",165,72,"Acima do peso"
"Barnhart",155,70,"Acima do peso"
"Barnhart",160,70,"Acima do peso"
"Barnhart",180,72,""
"Barnhart",192,71,""
"Barnhart",188,72,""
"Barnie",157,67,"Acima do peso"
"Barnicle",175,74,""
"Barnowski",195,74,""
"Barnwell",180,70,""
"Barojas",160,69,"Acima do peso"
"Barone",185,74,""
"Barone",165,69,"Acima do peso"
"Baron",205,72,"Peso normal"
"Barragan",180,71,""
"Barranca",160,72,"Acima do peso"
"Barraclough",229,75,"Peso normal"
"Barr",192,73,""
"Barr",175,72,""
"Barrett",NA,NA,NA
"Barrett",230,75,"Peso normal"
"Barrett",NA,NA,NA
"Barrett",175,72,""
"Barrett",175,71,""
"Barrett",175,69,""
"Barrett",173,74,""
"Barreto",208,70,"Peso normal"
"Barrett",240,76,"Peso normal"
"Barrett",170,67,""
"Barrett",170,70,""
"Barrera",195,72,""
"Barrett",170,69,""
"Barrett",175,70,""
